Name,Description,Website,Business Unit,Focus Area,Draft Opportunity Space,Original Taxonomy,Business Model Option,Friction Point,Business Models,Technologies ,Founded,Headcount,Country,Region,Funded,Funding Stage,Total Funding (USD),TRL,Maturity,Owner,Inc. Compass,Hero,Founded Score,Founded Weighting,Headcount Score,Headcount Weighting,Funding Score,Funding Weighting,TRL Score,TRL Weighting,Total Score,Result,Source
CardPlus,,https://www.cardplus.app,2. CC&C,2.3. Embedded Lending,2.3. Working Capital Loans,Working Capital Loans,,,Alternative Lending > Online Lenders > Business Loans > Working Capital Loans > Direct Lender,,2019,,United Kingdom,Europe,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
CareFi,"Provider of invoice financing for the medical industry. It is a fintech-up, and give technologically driven to provide smart financing solutions to hospitals, doctors, and allied suppliers.",https://www.carefi.in/,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Claims Processing,,,"Alternative Lending > Online Lenders > Business Loans > Trade Finance > Invoice Financing > For Health Insurance Claims > Marketplace,
Insurance IT > Insurance Policy Solutions > Claims Processing > Suite > Life & Health > Health,
Healthcare IT > Provider > Administrative Solutions > Finance Management > Transactions",,2021,,India,Asia,Yes,Seed,"$2,500,000",,Nascent,,TRUE,FALSE,0.2,0.3,,0,0.2,0.7,,0,0.2,Nascent,TRACXN
Carfics,,http://carfics.com,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Security & Surveillance Technology > Location Tracking > Vehicle Tracking,
Connected Vehicles > Vehicle Telematics > Fleet Management,
Road Transport Tech > Fleet Management > Fuel Consumption Monitoring,
Logistics Tech > Freight > Trucking > Technology Enablers > Fleet Management > End to End > Telematics Based,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2017,,France,Europe,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Carfics,,http://carfics.com,3. Insurance,3.3. Affordable Insurance,3.3. Usage-Based Insurance,Usage-based Insurance (Telematics Data Monitoring Software),,,"Security & Surveillance Technology > Location Tracking > Vehicle Tracking,
Connected Vehicles > Vehicle Telematics > Fleet Management,
Road Transport Tech > Fleet Management > Fuel Consumption Monitoring,
Logistics Tech > Freight > Trucking > Technology Enablers > Fleet Management > End to End > Telematics Based,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2017,,France,Europe,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
CarFren,,http://carfren.com.sg,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > Distribution Platform,
Internet First Insurance Platforms > P2P Insurance > Distribution > P&C > Auto",,2020,,Singapore,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
Caribou,"Online comparison platform for auto insurance. It offers quotes for vehicle insurance, accident protection, car insurance purchase processing, selecting coverage, and more. It also offers car payment-saving solutions for users.",https://www.caribou.com/,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Alternative Lending > Online Lenders > Consumer Loans > Auto Loans > Refinancing > Marketplace,
Internet First Insurance Platforms > Insurance Comparison Platforms > P&C > Auto",,2016,,United States of America,North America,Yes,Series C,"$190,000,000",,Mature,,TRUE,FALSE,1,0.3,,0,0.7,0.7,,0,0.79,Mature,TRACXN
CarInsuranceForDriver,,https://www.carinsurancefordriver.com/,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > Distribution Platform,
Internet First Insurance Platforms > Insurance Comparison Platforms > P&C > Auto",,2016,,United States of America,North America,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
carinsurancequotesonline.us.org,,http://carinsurancequotesonline.us.org,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > Distribution Platform,
Internet First Insurance Platforms > Insurance Comparison Platforms > P&C > Auto",,2019,,,,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
CarIQ,"Saas-based platform for vehicle diagnostics solutions. It offers an OBD device-enabled real-time vehicle diagnostics solutions. It provides multiple features including car health overview, real-time location sharing, predictive maintenance, usage-based insurance renewals, and more.",https://mycariq.com,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Connected Vehicles > Vehicle Telematics > Consumer Telematics > Driving Behavior Monitoring,
Road Transport Tech > Driver Assistance > Vehicle Telematics,
Internet First Insurance Platforms > Internet First Insurers > P&C > IT > Cyber,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2013,449,India,Asia,Yes,Acquired,"$16,632,439",,Mature,,FALSE,FALSE,1,0.3,1,0,1,0.7,,0,1,Mature,TRACXN
CarIQ,"Saas-based platform for vehicle diagnostics solutions. It offers an OBD device-enabled real-time vehicle diagnostics solutions. It provides multiple features including car health overview, real-time location sharing, predictive maintenance, usage-based insurance renewals, and more.",https://mycariq.com,3. Insurance,3.3. Affordable Insurance,3.3. Usage-Based Insurance,Usage-based Insurance (Telematics Data Monitoring Software),,,"Connected Vehicles > Vehicle Telematics > Consumer Telematics > Driving Behavior Monitoring,
Road Transport Tech > Driver Assistance > Vehicle Telematics,
Internet First Insurance Platforms > Internet First Insurers > P&C > IT > Cyber,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2013,449,India,Asia,Yes,Acquired,"$16,632,439",,Mature,,FALSE,FALSE,1,0.3,1,0,1,0.7,,0,1,Mature,TRACXN
Carnegie Payday Loans Direct,"Carnegie Payday Loans is an online platform for payday loans ranging from $100 to $1000, to be repaid on next payday. Online application made by the borrower on the platform is matched with one of the lenders. The applicant is redirected to lender's website to review terms and conditions, and sign the loan agreement. Funds are usually wired to the bank account on the next business day.",http://carnegiepaydayloansdirect.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2016,,United States of America,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
Carni,,https://carni.app,1. Payments,1.1. Contactless Payments,1.1. QR code Payments to reach the unbanked,,,,Payments > Business Payments > QR Code Payments,,2020,,Morocco,Africa,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
Carol Collect,"Carol Collect provides a cloud-based invoice collection solution for businesses. It features a solution for automated collection processing from the debtors and allows businesses to collect payments via multiple methods handling both CC and ACH payments. It provides settlement negotiation, disputes management, payment plan management, data management & reporting, and others. Its pricing is available on a monthly subscription plan.",http://carolcollect.com,2. CC&C,2.1. Customer-first Credit,,Accounts Receivables Collections,,,Finance & Accounting Tech > Accounting Solutions > Quote to Cash > Account Receivables > Collections,,2020,,United States of America,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
CarPay,"Carpay provides loan life cycle management software for purchase financing. It allows borrowers to make payments on the car loan channels such as mobile, desktop, or phones. It features loan origination & servicing, loan closing & processing, and more.",https://www.carpay.com/,2. CC&C,2.1. Customer-first Credit,,Consumer Loans,,,"Banking Tech > Loan Life Cycle Management > Loan Origination > Consumer Loans,
Auto IT > Dealer Management > Finance and Insurance Management",,2015,,United States of America,North America,Yes,Series B,"$10,094,895",,Emerging,,TRUE,FALSE,1,0.3,,0,0.4,0.7,,0,0.58,Emerging,TRACXN
CarQuoteNet,,https://carquotenet.com,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,Internet First Insurance Platforms > Insurance Comparison Platforms > P&C > Auto,,2022,,United States of America,North America,No,Unfunded,,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
CarrierHQ,,https://www.carrierhq.com/,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > Internet First Insurer,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto,
Insurance IT > Insurance Policy Solutions > Investigation Solutions > Property & Casualty > Auto",,2018,,United States of America,North America,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
CarrierHQ,,https://www.carrierhq.com/,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Investigation Solutions,,,"Auto E-Commerce & Content > Insurance > Internet First Insurer,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto,
Insurance IT > Insurance Policy Solutions > Investigation Solutions > Property & Casualty > Auto",,2018,,United States of America,North America,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Carrot,,http://carrot.co.ke,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance > Internet First Insurers,
Auto E-Commerce & Content > Insurance > Internet First Insurer,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2017,,Kenya,Africa,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Carrot,,http://carrot.co.ke,3. Insurance,3.3. Affordable Insurance,3.3. Usage-Based Insurance,Usage-based Insurance (Telematics Data Monitoring Software),,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance > Internet First Insurers,
Auto E-Commerce & Content > Insurance > Internet First Insurer,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2017,,Kenya,Africa,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Carrot Labs,AI-enabled software for financial data analysis and credit evaluation. Its products include Edge AI for AI-enabled transaction classification; Bud AI for AI-enabled budget management tools; and more. It also provides fraud detection tools.,http://carrotlabs.tech,2. CC&C,2.2. Digital Loan Servicing,2.2. Customer Risk Profiling,Credit Assessment Score,,,"Edge Computing > Applications > Personal Finance Management,
Banking Tech > Loan Life Cycle Management > Credit Assessment > Alternative Credit Score",,2020,,Switzerland,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
CarrotFi,"Cloud & API-enabled debt collection solutions for banks and financial institutions. It provides solutions for customer engagement, project tracking, case management, and more. It also provides personalized & compliance messaging platform.",https://carrotfi.com,2. CC&C,2.2. Digital Loan Servicing,,Loan Servicing,,,Banking Tech > Loan Life Cycle Management > Loan Servicing,,2020,,United States of America,North America,Yes,Seed,"$100,000",,Nascent,,TRUE,FALSE,0.5,0.3,,0,0.2,0.7,,0,0.29,Nascent,TRACXN
Carsurance,"Carsurance is an online platform for insurance quotes for individual car owners. Users need to enter their vehicle details to get a list of product options from the platform. The product options are also rated by the platform for the user's convenience. Once user chooses the product, he/she is immediately contacted for further process.",http://carsurance.me,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > Distribution Platform,
Internet First Insurance Platforms > Insurance Comparison Platforms > P&C > Auto",,2016,,Egypt,Africa,Yes,Seed,,,Emerging,,TRUE,FALSE,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,TRACXN
Carwura,"Carwura.com is an online platform that provides multiple car services over a single platform. Users are allowed to find the insurance they need & can request a quote to buy. Users are also allowed to search for nearby garages to book towing services, can search for auto-parts shops nearby & can rate/review the services listed on the platform. Other services include fuel price comparison, service alerts, drive guide, news & more. Their app is available for Apple & Android devices.",http://carwura.com,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > Distribution Platform,
Internet First Insurance Platforms > Insurance Comparison Platforms > P&C > Auto",,2018,,Ghana,Africa,No,Unfunded,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
CarX,"AI and Saas enabled fleet tracking and monitoring solutions. It offers hardware and software-enabled fleet tracking solutions with features like real-time tracking, geofence alerts, fuel monitoring, AI-enabled vehicle and driver safety insights, customized business reports, etc. It offers solutions for personal and business fleet tracking and management. It offers solutions for various sectors like logistics, car rental, hotels, etc. It offers hardware devices like GPS trackers, ID card holders for personal tracking with social distance tracking, etc. Also, it offers services like digital vehicle insurance and Fastag( automated toll payments) for vehicles.",https://carx.io/website/,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Security & Surveillance Technology > Location Tracking > Vehicle Tracking,
Connected Vehicles > Vehicle Telematics > Fleet Management > Fleet Tracking,
Logistics Tech > Freight > Trucking > Technology Enablers > Fleet Management > Fleet Tracking,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2016,,India,Asia,Yes,Seed,"$61,179",,Emerging,,FALSE,FALSE,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,TRACXN
CarX,"AI and Saas enabled fleet tracking and monitoring solutions. It offers hardware and software-enabled fleet tracking solutions with features like real-time tracking, geofence alerts, fuel monitoring, AI-enabled vehicle and driver safety insights, customized business reports, etc. It offers solutions for personal and business fleet tracking and management. It offers solutions for various sectors like logistics, car rental, hotels, etc. It offers hardware devices like GPS trackers, ID card holders for personal tracking with social distance tracking, etc. Also, it offers services like digital vehicle insurance and Fastag( automated toll payments) for vehicles.",https://carx.io/website/,3. Insurance,3.3. Affordable Insurance,3.3. Usage-Based Insurance,Usage-based Insurance (Telematics Data Monitoring Software),,,"Security & Surveillance Technology > Location Tracking > Vehicle Tracking,
Connected Vehicles > Vehicle Telematics > Fleet Management > Fleet Tracking,
Logistics Tech > Freight > Trucking > Technology Enablers > Fleet Management > Fleet Tracking,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2016,,India,Asia,Yes,Seed,"$61,179",,Emerging,,FALSE,FALSE,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,TRACXN
Cascade Financial Technology,"Cascade FinTech offers white labeled prepaid card solutions, consulting services, money splitting solutions, reloadable cards, commercial cards, gift and loyalty cards to merchants. Offers cloud based API solutions for prepaid programs to integrated with merchants existing system. Other offerings include fraud management solutions as well as wearable technology solutions for merchants.",https://www.cascadefintech.com/,1. Payments,1.4. Embedded Payments,1.4. Open Banking & API Integration,,,,Payments > Enablers > White Label Solutions > Payment Cards > Prepaid Cards,,2014,,United States of America,North America,Yes,Seed,"$2,602,766",,Emerging,,TRUE,FALSE,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,TRACXN
Cash Day,Online platform for payday loans,https://cashday.ca,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Direct Lender,,2019,,Canada,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
Cash Expert,Online platform for microloans,https://cash-expert.es,2. CC&C,2.2. Digital Loan Servicing,,Internet First Microfinancing,,,Alternative Lending > Online Lenders > Consumer Loans > Micro Loans > Direct Lender,,2017,,Spain,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Cash in a Snap,"Cash in a Snap is a lead generation platform for personal loans. Users can apply for loans by providing their personal information, income verification documents and banking information. Users can apply for loans up to $5000.",http://itcashinasnap.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2018,,United States of America,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Cash Panda,Cash Panda offers an online platform for availing payday loans and personal loans. Enables borrowings from  £100- £5000 for time spans ranging from 1 months to 36 months. Representative APR is 277%.  Users can apply for the loan online and are matched with a suitable lender within a few minutes. The applicant must be a legal UK resident with a minimum income of £700 per month.,https://www.cashpanda.co.uk/,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2016,1,United Kingdom,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,1,0,0,0.7,,0,0.3,Nascent,TRACXN
Cash Plus,CASH+ is a payday lending app offering loans up to INR 50K for a tenure of up to 30 days. The company offers a free credit report and uses multiple data points to build a credit profile of borrowers.,http://cash-plus.in,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2016,,India,Asia,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
Cash101,"Cash101 is an online platform for payday loans up to $1000, connecting applicants with its network of lenders. If matched, the applicant is provided a loan offer with detailed terms and conditions. The applicant is free to accept or reject the offer. APR varies by the lender but is typically between 200% to 2500% for a 14 day loan.",https://www.cash101.co/,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2014,,United States of America,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
Cashaa,"Cashaa is a blockchain-based digital bank for individuals & businesses. It offers services such as deposit accounts, forex, multicurrency money transfers, online/offline payments, debit cards for online/offline purchases, and more. It also provides tools for personal finance management.",https://cashaa.com,1. Payments,1.2. Easing of Remittances,1.2. Low-Cost Remittances Services,,,,"Cryptocurrencies > Financial Services > Banking,
 Digital Remittance > Internet First Platforms > P2P Remittance > Cryptocurrency",,2016,,United Kingdom,Europe,Yes,Series A,"$5,000,000",,Emerging,,TRUE,FALSE,1,0.3,,0,0.4,0.7,,0,0.58,Emerging,TRACXN
Cashadvancevrnk.net,Online marketplace for payday loans,http://cashadvancevrnk.net,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2020,,,,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
Cashback,App-based platform for microloans,http://cashback.com.ng,2. CC&C,2.2. Digital Loan Servicing,,Internet First Microfinancing,,,Alternative Lending > Online Lenders > Consumer Loans > Micro Loans > Marketplace,,2019,,Nigeria,Africa,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
Cashback  Car Insurance,Provider of Internet-first car insurance solutions. It offers auto insurance to its users for various car makes. Its users can get instant quotes by filling required details of their cars themselves and making the purchase for the same.,https://cashback.net.au,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance > Internet First Insurers,
Auto E-Commerce & Content > Insurance > Internet First Insurer,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2017,,Australia,Oceania,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Cashback  Car Insurance,Provider of Internet-first car insurance solutions. It offers auto insurance to its users for various car makes. Its users can get instant quotes by filling required details of their cars themselves and making the purchase for the same.,https://cashback.net.au,3. Insurance,3.3. Affordable Insurance,3.3. Usage-Based Insurance,Usage-based Insurance (Telematics Data Monitoring Software),,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance > Internet First Insurers,
Auto E-Commerce & Content > Insurance > Internet First Insurer,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2017,,Australia,Oceania,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
CashCape,"CashCape is a mobile-app based platform for accessing loans from € 100 up to € 2,500 for 14 to 90 days with an option of installment or bullet repayment. Interest rates on the platform start at 5.95%. The process is online and loans are usually disbursed in less than an hour. No credit checks are done. CashCape also offers retailers the option of integrating with CashCape for financing purchases of their customers.",https://cashcape.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2015,,Germany,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
CashCare,"CashCare is a credit lending platform for consumers to enable them to make eCommerce purchases and pay for purchases over EMIs. Users can choose CashCare EMI as a payment option on the eCommerce portal, provide verification documents to initiate the EMI based payment. Interest rate varies between 15% to 25% APR. Partners include Flipkart, FabFurnish, ShopClues, ShopMonk, Edureka, Dezyre, Sports365, Credr among others.",https://www.cashcare.in/,2. CC&C,2.3. Embedded Lending,2.3. Buy Now Pay Later (BNPL),Point of Sale Financing,,,Alternative Lending > Online Lenders > Consumer Loans > Point of Sale Financing > Marketplace,,2014,,India,Asia,No,Acquired,,,Mature,,TRUE,FALSE,1,0.3,,0,1,0.7,,0,1,Mature,TRACXN
CASHe,"Online marketplace for personal loans. It enables salaried and self-employed individuals to obtain personal loans with customized terms, amounts, and repayment options. It uses the artificial intelligence-based social loan quotient method to calculate credit scores of under-banked individuals. The application is available on Android and iOS platforms.",https://saija.in,,,,(5) Easing cash flow financing for businesses,,,,,2016,750,India,Asia,Yes,Series B,"$41,940,820",,Emerging,,FALSE,FALSE,1,0.3,1,0,0.4,0.7,,0,0.58,Emerging,OLD PROJECT – IKEA
Cashea,,https://www.cashea.app/,2. CC&C,2.3. Embedded Lending,2.3. Buy Now Pay Later (BNPL),Point of Sale Financing,,,Alternative Lending > Online Lenders > Consumer Loans > Point of Sale Financing > Marketplace,,2022,,Venezuela,South America,No,Unfunded,,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
Cashero,"Cross-border money transfer and currency exchange platform. Provides an app-based platform for money exchange and remittance. Cashero is the only app you need for multi-currency high-yields, currency exchange, and instant cross-border payments. Application is made available on Android platform.",https://cashero.com,1. Payments,1.2. Easing of Remittances,1.2. Multi-Currency Wallets for Cross border payments,,,,"Digital Remittance > Internet First Platforms > P2P Remittance > Wallet Transfer > Multi Currency,
 Forex Tech > Foreign Currency Services > Currency Exchanges > Internet-First Providers",,2019,,Estonia,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
Cashew,"Provider of payment initiation services. It allows banks to turn their mobile applications into a means of payment with point-of-sale financing functionality. Also enables banks to offer services such as loyalty programs, regular payments, and installment payments. Offers subscription plans for both banks and merchants.",https://cashew.me,2. CC&C,2.3. Embedded Lending,2.3. Buy Now Pay Later (BNPL),Point of Sale Financing,,,Banking Tech > Payments > Point of Sale Financing,,2018,,United Kingdom,Europe,Yes,Seed,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0.2,0.7,,0,0.35,Nascent,TRACXN
Cashew Payments Technology,"Point of Sale Financing solution provider. Provides splitting payment into interest-free installments. Payment splitting can be done accordingly for three, six, and twelve installments. Provides payment at check out, in-store using QR codes, and using payment links.",https://www.cashewpayments.com/,2. CC&C,2.3. Embedded Lending,2.3. Buy Now Pay Later (BNPL),Point of Sale Financing,,,Alternative Lending > Online Lenders > Consumer Loans > Point of Sale Financing > Direct Lender,,2019,,United Arab Emirates,Asia,Yes,Series A,"$10,000,000",,Emerging,,TRUE,FALSE,0.5,0.3,,0,0.4,0.7,,0,0.43,Emerging,TRACXN
Cashfornow,"Cashfornow is a payday loans company operating in Ontario, Canada. The approval process for the loan is online and instant. The borrower needs to be employed and needs to submit last 30 days of bank statements along with proof of address to apply for the loan.",https://cashfornow.ca,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Direct Lender,,2014,,Canada,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
CashierPe,,https://www.cashierpe.com,1. Payments,1.1. Contactless Payments,1.1. QR code Payments to reach the unbanked,,,,Payments > Business Payments > QR Code Payments,,2021,,India,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
Cashify,Cashify is a payroll loans provider. Employees of affiliated companies can obtain an advance on their payroll to cover essential needs. They can apply for 33% of their payroll.,https://www.cashify.cash/?lang=en,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Through Employer > Diversified > Marketplace,,2019,,Mexico,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
Cashila,"Cashilla is bitcoin/euro transfer platform for money transfer and bill payments or receiving money for freelancing works. The user can send bitcoin or euros to the beneficiary. The user first load the Cashilla account with some money then, to pay/send chooses either bitcoin address or bank account. The receiver receives bitcoins in the Cashilla account and can convert them into euros.",https://cashila.com,1. Payments,1.2. Easing of Remittances,1.2. Low-Cost Remittances Services,,,,"Cryptocurrencies > Financial Services > P2P Money Transfer,
 Digital Remittance > Internet First Platforms > P2P Remittance > Cryptocurrency",,2013,,United Kingdom,Europe,Yes,Seed,"$262,600",,Emerging,,TRUE,FALSE,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,TRACXN
Cashinvoice,Online marketplace for supply chain financing. It provides loans to SMEs through collaboration with corporates and financiers by obtaining the unpaid invoices as collateral and also helps in improving the cash flow from the supply chains.,,,,,,,,,,2018,,India,Asia,Yes,Seed,"$1,368,723",,Nascent,,FALSE,FALSE,0.7,0.3,,0,0.2,0.7,,0,0.35,Nascent,OLD PROJECT – IKEA
CashMax,,https://cashmaxloans.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Direct Lender,,2015,,United States of America,North America,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
CashMere,SME Financing,https://cashme.it/,,,,(5) Easing cash flow financing for businesses,,,,,2015,,Italy,Europe,Yes,Seed,"$1,740,370",,Emerging,,FALSE,FALSE,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,OLD PROJECT – IKEA
